"DBASS5GeneID","DBASS5GeneName","EnsemblGeneNumber"
"1","ABCD1","ENSG00000101986"
"199","ACAT1","ENSG00000075239"
"2","ADA","ENSG00000196839"
"3","ADAMTS13","ENSG00000160323"
"193","ALDOB","ENSG00000136872"
"4","ALG3","ENSG00000214160"
"166","APOB","ENSG00000084674"
"5","AR","ENSG00000169083"
"6","ARH","ENSG00000157978"
"7","ATM","ENSG00000149311"
"8","ATP7A","ENSG00000165240"
"200","ATP7B","ENSG00000123191"
"9","ATR","ENSG00000175054"
"10","ATRX","ENSG00000085224"
"167","B2M","ENSG00000166710"
"201","BCKDHA","ENSG00000248098"
"194","BMPR2","ENSG00000204217"
"11","BRCA1","ENSG00000012048"
"202","BRCA2","ENSG00000139618"
"12","BRIP1","ENSG00000136492"
"13","BTK","ENSG00000010671"
"14","BTNL2","ENSG00000204290"
"15","C3","ENSG00000125730"
"203","C4B","ENSG00000224389"
"204","CACNA1A","ENSG00000141837"
"17","CAV3","ENSG00000182533"
"18","CD40L","ENSG00000102245"
"19","CDH1","ENSG00000039068"
"20","CDH23","ENSG00000107736"
"21","CDKN2A","ENSG00000147889"
"22","CEP290","ENSG00000198707"
"23","CFC1","ENSG00000136698"
"24","CFTR","ENSG00000001626"
"168","CHRNE","ENSG00000108556"
"25","CLN6","ENSG00000128973"
"26","COL11A2","ENSG00000206290"
"27","COL1A1","ENSG00000108821"
"28","COL1A2","ENSG00000164692"
"29","COL2A1","ENSG00000139219"
"30","COL3A1","ENSG00000168542"
"31","COL4A5","ENSG00000188153"
"32","COL5A1","ENSG00000130635"
"33","COL6A1","ENSG00000142156"
"34","COL7A1","ENSG00000114270"
"35","COLQ","ENSG00000206561"
"36","CSHL1","ENSG00000204414"
"37","CSPG2","ENSG00000038427"
"38","CTDP1","ENSG00000060069"
"169","CTNS","ENSG00000040531"
"39","CUBN","ENSG00000107611"
"40","CUL4B","ENSG00000158290"
"41","CYBA","ENSG00000051523"
"42","CYBB","ENSG00000165168"
"205","CYP11B1","ENSG00000160882"
"43","CYP19A1","ENSG00000137869"
"44","CYP27A1","ENSG00000135929"
"206","DAX1/NR0B1","ENSG00000169297"
"45","DBT","ENSG00000137992"
"170","DFNA1","ENSG00000131504"
"207","DLG3","ENSG00000082458"
"46","DMD","ENSG00000198947"
"47","DPYD","ENSG00000188641"
"48","DRCTNNB1A (HCC)","ENSG00000122591"
"49","ECM1","ENSG00000143369"
"50","EDA","ENSG00000158813"
"51","ELA2","ENSG00000197561"
"52","ELN","ENSG00000049540"
"53","ENG","ENSG00000106991"
"54","EP300","ENSG00000100393"
"171","EPB41","ENSG00000159023"
"55","EVC","ENSG00000072840"
"208","EXT1","ENSG00000182197"
"56","F5","ENSG00000198734"
"57","F7","ENSG00000057593"
"58","F8","ENSG00000185010"
"59","F9","ENSG00000101981"
"61","FAH","ENSG00000103876"
"62","FANCA","ENSG00000187741"
"172","FANCD2","ENSG00000144554"
