vgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable:	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id
VGNC:3019	ALKAL1	ALK and LTK ligand 1	protein-coding gene	gene with protein product	Approved	8	08			"FAM150A"	"family with sequence similarity 150 member A"			2015-11-20	2017-02-05	2017-02-05	2017-02-05	739899	ENSPTRG00000024172
VGNC:10641	ALKAL2	ALK and LTK ligand 2	protein-coding gene	gene with protein product	Approved	2A	02A			"FAM150B"	"family with sequence similarity 150 member B"			2016-05-26	2017-02-05	2017-02-05	2017-02-05	742338	ENSPTRG00000011606
VGNC:9384	ACD	ACD, shelterin complex subunit and telomerase recruitment factor	protein-coding gene	gene with protein product	Approved	16	016				"adrenocortical dysplasia homolog"			2016-03-31		2016-11-02	2016-11-02	454170	ENSPTRG00000008238
VGNC:11333	ACOX2	acyl-CoA oxidase 2	protein-coding gene	gene with protein product	Approved	3	03				"acyl-CoA oxidase 2, branched chain"			2016-06-01		2016-06-13	2016-09-26	460479	ENSPTRG00000015061
VGNC:27	ADAR	adenosine deaminase, RNA specific	protein-coding gene	gene with protein product	Approved	1	01				"adenosine deaminase, RNA-specific"			2015-11-04		2016-06-13	2016-06-13	457349	ENSPTRG00000022833
VGNC:10302	AHSA1	activator of HSP90 ATPase activity 1	protein-coding gene	gene with protein product	Approved	14	014				"activator of Hsp90 ATPase activity 1"			2016-05-03		2016-11-25	2016-11-25	453070	ENSPTRG00000006582
VGNC:4918	ALKBH2	alkB homolog 2, alpha-ketoglutarate dependent dioxygenase	protein-coding gene	gene with protein product	Approved	12	012				"alkB homolog 2, alpha-ketoglutarate-dependent dioxygenase"			2015-11-27		2016-06-13	2016-06-13	452216	ENSPTRG00000005418
VGNC:6763	ALKBH3	alkB homolog 3, alpha-ketoglutaratedependent dioxygenase	protein-coding gene	gene with protein product	Approved	11	011				"alkB homolog 3, alpha-ketoglutarate-dependent dioxygenase"			2016-01-19		2016-06-13	2016-06-13	741336	ENSPTRG00000003523
VGNC:67	ALS2CR12	amyotrophic lateral sclerosis 2 chromosome region 12	protein-coding gene	gene with protein product	Approved	2B	02B				"amyotrophic lateral sclerosis 2 chromosome region candidate 12"			2015-11-04		2017-01-29	2017-01-29	459875	ENSPTRG00000012803
VGNC:2585	AMIGO3	adhesion molecule with Ig like domain 3	protein-coding gene	gene with protein product	Approved	3	03				"adhesion molecule with Ig-like domain 3"			2015-11-17		2016-10-08	2016-10-08	104005563	ENSPTRG00000014931
VGNC:3220	ANKRD13D	ankyrin repeat domain 13D	protein-coding gene	gene with protein product	Approved	11	011				"ankyrin repeat domain 13 family member D"			2015-11-23		2016-06-13	2016-06-13	451364	ENSPTRG00000003947
VGNC:5141	APCDD1	APC down-regulated 1	protein-coding gene	gene with protein product	Approved	18	018				"adenomatosis polyposis coli down-regulated 1"			2015-12-01		2016-10-08	2016-10-08	455287	ENSPTRG00000009865
VGNC:11031	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2	protein-coding gene	gene with protein product	Approved	6	06				"apolipoprotein B mRNA editing enzyme catalytic polypeptide like 2"			2016-05-31		2016-06-28	2016-09-26	462675	ENSPTRG00000029679
VGNC:4277	AUTS2	AUTS2, activator of transcription and developmental regulator	protein-coding gene	gene with protein product	Approved	7	07				"autism susceptibility candidate 2"			2015-11-26		2017-01-29	2017-01-29	463457	ENSPTRG00000019260
VGNC:11665	BAMBI	BMP and activin membrane bound inhibitor	protein-coding gene	gene with protein product	Approved	10	010				"BMP and activin membrane-bound inhibitor"			2016-06-03		2016-06-13	2016-09-26	745034	ENSPTRG00000002389
VGNC:10275	BAX	BCL2 associated X, apoptosis regulator	protein-coding gene	gene with protein product	Approved	19	019				"BCL2 associated X protein"			2016-04-29		2016-06-19	2016-06-19	747093	ENSPTRG00000011267
VGNC:9936	BCL2	BCL2, apoptosis regulator	protein-coding gene	gene with protein product	Approved	18	018				"B-cell CLL/lymphoma 2"			2016-04-06		2016-06-19	2016-06-19	738409	ENSPTRG00000010079
VGNC:9385	BCL7C	BCL tumor suppressor 7C	protein-coding gene	gene with protein product	Approved	16	016				"B-cell CLL/lymphoma 7C"			2016-03-31		2016-10-08	2016-10-08	467954	ENSPTRG00000008017
VGNC:6383	BNIP1	BCL2 interacting protein 1	protein-coding gene	gene with protein product	Approved	5	05				"BCL2/adenovirus E1B 19kDa interacting protein 1"			2016-01-06		2016-06-28	2016-06-28	740480	ENSPTRG00000017541
VGNC:13792	BPHL	biphenyl hydrolase like	protein-coding gene	gene with protein product	Approved	6	06				"biphenyl hydrolase-like (serine hydrolase)|biphenyl hydrolase like"			2016-07-19		2016-10-08	2016-10-08	462398	ENSPTRG00000017673
VGNC:7642	BRF1	BRF1, RNA polymerase III transcription initiation factor subunit	protein-coding gene	gene with protein product	Approved	14	014				"BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit"			2016-02-15		2016-11-25	2016-11-25	453212	ENSPTRG00000006786
VGNC:1172	BRF2	BRF2, RNA polymerase III transcription initiation factor subunit	protein-coding gene	gene with protein product	Approved	8	08				"BRF2, RNA polymerase III transcription initiation factor 50 kDa subunit"			2015-11-10		2016-11-25	2016-11-25	746619	ENSPTRG00000020163
VGNC:1410	BRS3	bombesin receptor subtype 3	protein-coding gene	gene with protein product	Approved	X	X				"bombesin like receptor 3"			2015-11-11		2016-06-13	2016-06-13	737980	ENSPTRG00000022314
VGNC:4976	BTG2	BTG anti-proliferation factor 2	protein-coding gene	gene with protein product	Approved	1	01				"BTG family member 2"			2015-11-27		2016-10-08	2016-10-08	740912	ENSPTRG00000001871
