#38  ENSEMBL_ID             Ensembl Gene ID
GENE_RGD_ID	SYMBOL	NAME	GENE_DESC	CHROMOSOME_CELERA	CHROMOSOME_3.1	CHROMOSOME_3.4	FISH_BAND	START_POS_CELERA	STOP_POS_CELERA	STRAND_CELERA	START_POS_3.1	STOP_POS_3.1	STRAND_3.1	START_POS_3.4	STOP_POS_3.4	STRAND_3.4	CURATED_REF_RGD_ID	CURATED_REF_PUBMED_ID	UNCURATED_PUBMED_ID	NCBI_GENE_ID	UNIPROT_ID	(UNUSED)	GENBANK_NUCLEOTIDE	TIGR_ID	GENBANK_PROTEIN	UNIGENE_ID	SSLP_RGD_ID	SSLP_SYMBOL	OLD_SYMBOL	OLD_NAME	QTL_RGD_ID	QTL_SYMBOL	NOMENCLATURE_STATUS	SPLICE_RGD_ID	SPLICE_SYMBOL	GENE_TYPE	ENSEMBL_ID	GENE_REFSEQ_STATUS	CHROMOSOME_5.0	START_POS_5.0	STOP_POS_5.0	STRAND_5.0	CHROMOSOME_6.0	START_POS_6.0	STOP_POS_6.0	STRAND_6.0
69417	A1bg	alpha-1-B glycoprotein	FOUND IN blood microparticle (ortholog); extracellular exosome (ortholog); extracellular region (ortholog); INTERACTS WITH 17alpha-ethynylestradiol; aflatoxin B1; ammonium chloride	7	7	7	q33	89209243	89212960	-	97833354	97837072	-	97799125	97802842	-	68729;70068;619610;631955;1580655;6480464	11097837;11356721	12477932;15489334	140656	Q9EPH1		AABR07058150;AAHX01051062;AF236054;AJ302031;BC089771;CH473950;NM_022258	TC202782	AAF68963;AAH89771;CAC19029;EDM16186;EDM16187;NP_071594;Q9EPH1	Rn.53990			C44	alpha-1B-glycoprotein;liver regeneration-related protein 1			APPROVED			protein-coding	ENSRNOG00000004692	PROVISIONAL	7	102865631	102869723	-	7	102294805	102298522	-
621583	A4galt	alpha 1,4-galactosyltransferase	ENCODES a protein that exhibits galactosyltransferase activity; lactosylceramide 4-alpha-galactosyltransferase activity (ortholog); toxic substance binding (ortholog); INVOLVED IN globoside biosynthetic process (ortholog); plasma membrane organization (ortholog); PARTICIPATES IN globoside metabolic pathway; ASSOCIATED WITH Burkitt Lymphoma (ortholog); Hyperostosis, Cortical, Congenital (ortholog); FOUND IN extracellular exosome (ortholog); membrane (ortholog); INTERACTS WITH ammonium chloride; bisphenol A; copper atom	7	7	7	q34	110683103	110686657	-	121286348	121289901	-	121252117	121255671	-	619610;632742;1300231;1600115;1580655;6480464;6907045;8554872	10854428;7795329	12477932	63888	Q9JI93		AAHX01051910;AC135486;AF248544;BC097323;CH473950;NM_022240;XM_006242117;XM_006242118;XM_017595078;XM_017595079;XM_017595080;XM_017595081		AAF82758;AAH97323;EDM15634;EDM15635;NP_071576;Q9JI93;XP_006242179;XP_006242180;XP_017450567;XP_017450568;XP_017450569;XP_017450570	Rn.48584	5046398	RH131730	Gb3	Gb3 synthase;UDP-galactose:beta-D-galactosyl-beta1-R 4-alpha-D-galactosyltransferase;alpha-1,4-N-acetylglucosaminyltransferase;alpha-1,4-galactosyltransferase;alpha4Gal-T1;globotriaosylceramide synthase;lactosylceramide 4-alpha-galactosyltransferase			APPROVED			protein-coding	ENSRNOG00000009736	PROVISIONAL	7	124066829	124099802	-	7	124085832	124110440	-
1590210	A4gnt	alpha-1,4-N-acetylglucosaminyltransferase	ENCODES a protein that exhibits acetylglucosaminyltransferase activity (ortholog); INVOLVED IN glycoprotein biosynthetic process (ortholog); negative regulation of epithelial cell proliferation (ortholog); protein O-linked glycosylation (ortholog); ASSOCIATED WITH Pancreatic Neoplasms (ortholog); INTERACTS WITH 2,3,7,8-tetrachlorodibenzodioxine (ortholog); aflatoxin B1 (ortholog); antirheumatic drug (ortholog)	8		8	q31	99569661	99579946	+				104476664	104491166	+	1600115;2325199;1598407;8554872;6480464	16441422		685758	D3ZG90		AABR07071290;AAHX01056614;AAHX01056615;AAHX01056616;AAHX01056617;CH473954;XM_008757854;XM_008766588		EDL77436;XP_008756076;XP_008764810		5085551	BM383234	LOC315951;LOC685758	similar to Alpha-1,4-N-acetylglucosaminyltransferase (Alpha4GnT)			APPROVED			protein-coding	ENSRNOG00000042649	MODEL	8	107282862	107290193	+	8	107856853	107866438	+
1565709	A2ml1	alpha-2-macroglobulin-like 1	ENCODES a protein that exhibits peptidase inhibitor activity (ortholog); INVOLVED IN regulation of endopeptidase activity (ortholog); ASSOCIATED WITH Otitis Media (ortholog); FOUND IN extracellular exosome (ortholog); extracellular space (ortholog); INTERACTS WITH 6-propyl-2-thiouracil; cadmium dichloride; Decabromodiphenyl oxide	4		4	q42	150516096	150558372	-				165560839	165603598	-	1600115;6480464;8554872			362442	D3ZS19		AABR07062114;AABR07062115;AAHX01033020;AAHX01033021;AAHX01033022;CH473964;XM_001066684;XM_008763339		EDM01769;EDM01770;EDM01771;EDM01772;XP_001066684;XP_008761561				LOC362442;RGD1565709	similar to ovostatin-2			APPROVED			protein-coding	ENSRNOG00000007247	MODEL	4	227068033	227109746	-	4	161863609	161907897	-
619834	A1cf	APOBEC1 complementation factor	ENCODES a protein that exhibits mRNA binding; single-stranded RNA binding (ortholog); INVOLVED IN cytidine to uridine editing; embryo implantation (ortholog); mRNA localization resulting in posttranscriptional regulation of gene expression (ortholog); FOUND IN cytoplasm; mRNA editing complex; nuclear heterochromatin; INTERACTS WITH 2,3,7,8-tetrachlorodibenzodioxine; aflatoxin B1; benzene	1	1	1	q52	226856680	226943695	+	236029865	236122088	+	235865843	235958065	+	619610;631909;631910;1300341;1358271;1300239;6480464;9587738;9587747;8554872;8553657;8553404	10669759;10781591;11870221;12359328;12697753;12896982;16820530;704405;734901	14570923;16055734;17229474;20541536	170912	F1LNL0;Q8CH54;Q923K9		AABR07006734;AABR07006735;AAHX01000121;AAHX01000122;AAHX01000123;AAHX01000124;AAHX01000125;AAHX01000126;AF290984;AF442133;AF442134;AF442135;AY028945;CH473953;NM_133400;XM_006231272		AAK50145;AAK83095;AAO15465;AAO15466;AAO15467;AAO15468;AAO15469;EDM13127;EDM13128;EDM13129;EDM13130;NP_596891;Q923K9;XP_006231334	Rn.162520			A1cft;Acf;Apobec-1	APOBEC1 complementation factorT;APOBEC1-stimulating protein;Apobec-1 complementation factor APOBEC-1 stimulating protein;Apobec-1 complementation factor, APOBEC-1 stimulating protein;apobec-1 complementation factor			APPROVED			protein-coding	ENSRNOG00000033195	PROVISIONAL	1	257660187	257747893	+	1	250426027	250514245	+
1303072	AA926063	AA926063gene		20	20	20	p12	6560464	6571796	-	5128451	5134783	-	5128225	5140738	-			15060004	294284			AAHX01099666;AAHX01099667;AC128962;BX883042;FQ220821;NR_002156			Rn.203507;Rn.95123	5041598;5057247;5058200;5074022	AA926063;BI277709;RH128949;RH137774					PROVISIONAL			ncrna	ENSRNOG00000000478	VALIDATED	20	7545086	7557599	-	20	5486474	5498987	-
2004	A2m	alpha-2-macroglobulin	ENCODES a protein that exhibits brain-derived neurotrophic factor binding; endopeptidase inhibitor activity; nerve growth factor binding; INVOLVED IN acute inflammatory response to antigenic stimulus; acute-phase response; embryonic liver development; PARTICIPATES IN transforming growth factor-beta Smad dependent signaling pathway; Alzheimer disease pathway; immune response pathway; ASSOCIATED WITH cardiac hypertrophy; ASSOCIATED WITH Adenoma, Liver Cell; Anemia, Hemolytic; Arthritis, Experimental; FOUND IN extracellular space; blood microparticle (ortholog); extracellular exosome (ortholog); INTERACTS WITH (+)-pilocarpine; (S)-amphetamine; 1-naphthyl isothiocyanate	4	4	4	q42	143730195	143781190	+	158348624	158398358	+	158103711	158153423	+	70068;70249;67925;619610;704363;704364;1298539;1298570;1549857;1549856;1300048;1598506;1598509;1598510;1302534;1300321;1598710;1598511;1598512;1598513;1331525;1300322;1358261;1358260;1580654;1580655;1600115;2298922;1598407;2298948;6480464;6484113;6907045;7240710;7411612;7401223;8554872;10046031;10046042;10046045;10046010;10046012;10046014;10046021;10046023;10046029;10046030;10046033;10046034;10046036;10046046;10046016;10046018;10046028;10046044;10046015;10046032;10046041	10319853;10848441;10936700;11498265;11779202;11813239;11839752;11952820;12042906;12133586;12221929;12494268;12809600;12966032;14675603;14960360;15118671;15167684;15509519;16177542;16538883;1710603;17722867;18177927;19240864;20005173;20579363;21742475;2424486;2432068;2436819;2442306;2448189;2450021;2460123;2468362;2475424;2479532;2581948;6163339;6202298;9446838;9453001;94834;9697696;9843780	12223092;12477932;15272003;15489334;17071617;1725450;17487688;17565389;18701465;20848291;21188621;21642630;21669904;2414291;2466233;26746007	24153	P06238;Q6LDR4		AABR07061940;AAHX01032713;AAHX01032714;AAHX01032715;AH002120;AH002202;AH003208;AY887133;AY919611;AY921651;BC098922;CH473964;FQ211201;FQ220994;FQ222020;FQ222064;FQ222110;FQ222297;FQ222568;FQ222719;FQ222762;FQ223104;FQ223246;FQ228339;FQ228863;FQ229421;J02635;NM_012488	TC229016;TC239648	AAA40636;AAA40637;AAA40638;AAA41595;AAA77658;AAH98922;AAW65786;AAX11376;AAX12488;EDM02007;EDM02008;EDM02009;NP_036620;P06238	Rn.225884	10048;10049;42147	D4Arb15;D4Mit20;D4Wox16	A2MAC1;A2m1;A2maa;A2mb;AI893533;MGC114358;Mam;RATA2MAC1	alpha-2-M;alpha-2-macroglobulin-P	6903353;724558	Bp353;Plsm2	APPROVED			protein-coding	ENSRNOG00000028896;ENSRNOG00000045772	PROVISIONAL	4	221393233	221442945	+	4	154309426	154359138	+
1563257	Aadacl3	arylacetamide deacetylase-like 3	ENCODES a protein that exhibits carboxylic ester hydrolase activity (inferred); FOUND IN integral component of membrane (inferred); INTERACTS WITH bisphenol A; copper atom; copper(0)	5		5	q36	154547243	154555326	-				162819315	162827436	-	1600115;6480464;8554872			313686	D3ZCR8		AABR07050361;AAHX01040728;AAHX01040729;CH473959;NM_001191768;XM_017593429		EDM15242;NP_001178697;XP_017448918	Rn.228181			LOC313686;RGD1563257	similar to novel protein similar to esterases			APPROVED			protein-coding	ENSRNOG00000026613	PROVISIONAL	5	166016068	166024293	+	5	162323373	162332014	+
1563197	Aadacl2	arylacetamide deacetylase-like 2	ENCODES a protein that exhibits carboxylic ester hydrolase activity (inferred); FOUND IN integral component of membrane (inferred); INTERACTS WITH bisphenol A; antirheumatic drug (ortholog)	2		2	q31	138536515	138557152	+				149308993	149329609	+	1600115;6480464			295076	M0R5D4		AABR07010754;CH474003;NM_001191706		EDM14840;NP_001178635	Rn.228196			LOC295076;RGD1563197	similar to arylacetamide deacetylase (esterase)			APPROVED			protein-coding	ENSRNOG00000050494;ENSRNOG00000050858	PROVISIONAL	2	169764505	169785231	+	2	150344307	150365033	+
631440	Aadac	arylacetamide deacetylase	ENCODES a protein that exhibits deacetylase activity (ortholog); serine hydrolase activity (ortholog); triglyceride lipase activity (ortholog); INVOLVED IN positive regulation of triglyceride catabolic process (ortholog); ASSOCIATED WITH Liver Cirrhosis, Experimental (ortholog); FOUND IN endoplasmic reticulum membrane (ortholog); INTERACTS WITH 1-naphthyl isothiocyanate; 2,3,7,8-tetrachlorodibenzodioxine; 2,4-dinitrotoluene	2	2	2	q31	138576394	138587634	+	149298897	149310144	+	149348935	149360181	+	70567;1580655;1600115;1580654;6480464;8554872	11481320	12477932	57300	Q5I0N0;Q9QZH8		AAHX01017320;AC111231;AF182426;AF264017;BC088143;CH474003;FQ209437;FQ218395;NM_020538		AAD56394;AAF74757;AAH88143;EDM14838;EDM14839;NP_065413;Q9QZH8	Rn.48732			Aada	arylacetamide deacetylase (esterase)			APPROVED			protein-coding	ENSRNOG00000013950	PROVISIONAL	2	169573785	169590476	+	2	150146234	150157480	+
